,Formula,SGnumber,Magmom,Magnetic
670,Sb2Se3,164,0.000,False
671,Sc4C3O2,164,0.000,False
672,Zr4C3,164,1.907,True
673,Ti2Br2,129,0.000,False
674,C2H2,164,0.000,False
675,W2Cl2,164,0.000,False
676,Co2S2,164,0.000,False
677,GeO,156,0.000,False
678,In2Te2,187,0.000,False
679,Ni2Te2,164,0.000,False
680,BiS2,164,0.000,False
681,Ru2S2,164,0.000,False
682,Ti2Te2,187,0.000,False
683,CaI2,164,0.000,False
684,Cd2S4,14,0.000,False
685,CoI2,164,1.002,True
686,FeCl2,115,4.000,True
687,FeS2,187,1.428,True
688,Hf2Cl4,11,0.000,False
689,HfS2,115,0.000,False
690,HgCl2,115,0.000,False
691,InI2,187,0.000,False
692,YCl2,187,0.998,True
693,MnTe2,187,2.504,True
694,Nb4O8,12,0.000,False
695,NbTe2,187,0.600,True
696,Os2S4,11,0.000,False
697,PdCl2,164,1.998,True
698,PdSe2,164,0.000,False
699,ScSe2,164,0.000,False
700,TaSe2,115,0.000,False
701,TiCl2,187,0.000,False
702,VO2,115,1.000,True
703,VTe2,187,0.995,True
704,W2Se4,11,0.000,False
705,ZnCl2,164,0.000,False
706,Bi2Zr,164,0.000,False
707,Ti2BS2,164,0.000,False
708,Sc2CO2,164,0.519,True
709,W2CSe2,164,0.000,False
710,NiH2O2,164,2.000,True
711,Sb2Se2Te,164,0.000,False
712,Mn2CH2O2,164,5.949,True
713,AlNi5Cl2,123,1.162,True
714,InNi5Br2,123,1.183,True
715,Cu2ReCl6,147,2.998,True
716,Ir2Cl6,162,0.000,False
717,Os2Cl6,162,1.998,True
718,Ru2I6,162,1.945,True
719,V2Cl6,162,4.000,True
720,Cr3MoTe8,25,0.000,False
721,Mo3WTe8,25,0.000,False
722,Al2I2S2,59,0.000,False
723,AsClTe,156,0.000,False
724,BiBrS,156,0.000,False
725,BiClTe,156,0.000,False
726,BiITe,156,0.000,False
727,TiBrI,156,0.000,False
728,Ir2Br2Se2,59,0.000,False
729,Ti2Br2S2,59,0.000,False
730,Hf2Cl2N2,59,0.000,False
731,Ir2Cl2O2,59,0.000,False
732,Ni2Cl2S2,59,0.000,False
733,Na2F2O2,129,0.000,False
734,Hf4I4Se4,31,2.007,True
735,Ti2I2Se2,59,0.000,False
736,MoSSe,156,0.000,False
737,WOTe,156,0.000,False
738,VSTe,156,0.779,True
739,ZrSeTe,156,0.000,False
740,Cu2Br2S4,17,0.000,False
741,Cr2W2Te8,25,0.000,False
742,CoZrBr6,5,1.020,True
743,Al2O4,59,2.000,True
744,Cu2F4,14,2.000,True
745,Sc3N2O2,187,0.369,False
746,Ta4Se12,11,0.000,False
747,W2N3,187,0.000,False
748,As2O6Sb2,7,0.000,False
749,Bi4B4O12,14,0.000,False
750,Cd4Br4O4,14,0.000,False
751,Cr2Ge2Te6,162,5.998,True
752,Ga2Y2I2,164,0.000,False
753,KTiS2,156,0.544,True
754,Mo2O10P2,85,2.000,True
755,Nb2I2O4,11,0.000,False
756,O4S8Sb8,2,0.000,False
757,Pd3Ta3Te14,6,0.000,False
758,Rh2Ta2Te8,11,0.000,False
759,Sr2H8O6,26,0.000,False
760,V2O10P2,129,0.000,False
761,Zn2Ge2O6,162,0.000,False
762,AgScP2S6,149,0.000,False
763,Na2SnH6O6,147,0.000,False
764,Zr3C2F2Se2,187,0.000,False
765,Zr3C2H2S2,187,0.000,False
766,Zr4H2N3O2,164,0.000,False
767,Zr3C2,187,1.889,True
768,Sb2Te3,164,0.000,False
769,Mo4F2N3,164,0.000,False
770,Ta4C3O2,164,0.000,False
771,Cr4N3,164,0.840,True
